Day,Avg precip,Avg low,Avg high,Min low,Max high,Min low year,Max high year
01/01,0.15306930693069307,14.128712871287128,33.42574257425743,-20,59,-20,59
01/02,0.08564356435643564,14.762376237623762,35.26732673267327,-23,59,-23,59
01/03,0.1529,15.14,34.42,-17,61,-17,61
01/04,0.1291089108910891,15,33.04950495049505,-21,68,-21,68
01/05,0.1103,15.07,34.12,-17,61,-17,61
01/06,0.14182692307692307,14.586538461538462,34.56730769230769,-19,68,-19,68
01/07,0.17627450980392156,16.058823529411764,34.254901960784316,-13,61,-13,61
01/08,0.11232323232323232,14.414141414141413,32.75757575757576,-9,55,-9,55
01/09,0.1061,13.98,32.23,-14,58,-14,58
01/10,0.12368932038834951,14.29126213592233,33.19417475728155,-16,55,-16,55
01/11,0.09729166666666667,12.020833333333334,32.71875,-25,57,-25,57
01/12,0.13431372549019607,13.372549019607844,33.254901960784316,-25,60,-25,60
01/13,0.07754901960784313,13.872549019607844,33.745098039215684,-16,59,-16,59
01/14,0.1134,12,33.42,-21,65,-21,65
01/15,0.14247619047619048,14.504761904761905,33.19047619047619,-20,61,-20,61
01/16,0.15177083333333333,11.6875,32.625,-20,62,-20,62
01/17,0.06673267326732674,11.05940594059406,32.693069306930695,-18,55,-18,55
01/18,0.12484848484848485,11.404040404040405,33.18181818181818,-24,59,-24,59
01/19,0.08601941747572815,12.009708737864077,33.09708737864078,-24,58,-24,58
01/20,0.14073684210526316,12.8,33.31578947368421,-30,56,-30,56
01/21,0.13802083333333334,12.927083333333334,34.260416666666664,-17,63,-17,63
01/22,0.11396039603960396,13.227722772277227,34.603960396039604,-27,62,-27,62
01/23,0.1281,14.11,35.2,-18,66,-18,66
01/24,0.1479,12.83,33.8,-28,62,-28,62
01/25,0.18566037735849056,15.047169811320755,34.424528301886795,-11,57,-11,57
01/26,0.11168421052631579,13.463157894736842,33.85263157894737,-21,64,-21,64
01/27,0.1246,14.18,34.56,-22,61,-22,61
01/28,0.08591836734693878,13.316326530612244,33.724489795918366,-16,60,-16,60
01/29,0.1122,13.27,33.02,-17,52,-17,52
01/30,0.1116326530612245,13.755102040816327,33.89795918367347,-8,58,-8,58
01/31,0.0833,12.82,33.16,-15,60,-15,60
02/01,0.06403846153846154,13.653846153846153,33.55769230769231,-21,63,-21,63
02/02,0.12752380952380954,12.142857142857142,33.78095238095238,-15,60,-15,60
02/03,0.1011,13.94,32.76,-21,59,-21,59
02/04,0.14342592592592593,12.527777777777779,33.675925925925924,-19,60,-19,60
02/05,0.11125,13.192307692307692,33.29807692307692,-19,61,-19,61
02/06,0.10782178217821782,13.148514851485148,32.91089108910891,-17,53,-17,53
02/07,0.15231481481481482,14.842592592592593,33.574074074074076,-11,52,-11,52
02/08,0.12358490566037736,13.61320754716981,34.575471698113205,-18,65,-18,65
02/09,0.09018867924528302,12.547169811320755,33.85849056603774,-10,56,-10,56
02/10,0.08293577981651376,13.81651376146789,34.36697247706422,-12,56,-12,56
02/11,0.08689320388349515,13.048543689320388,34.28155339805825,-22,61,-22,61
02/12,0.10784313725490197,11.480392156862745,33.78431372549019,-19,63,-19,63
02/13,0.1396078431372549,12.215686274509803,33.68627450980392,-19,58,-19,58
02/14,0.13805555555555557,14.342592592592593,35.333333333333336,-13,57,-13,57
02/15,0.1445945945945946,15.774774774774775,36.567567567567565,-17,59,-17,59
02/16,0.08775510204081632,15.112244897959183,36.59183673469388,-16,59,-16,59
02/17,0.14375000000000002,14.990384615384615,34.96153846153846,-15,60,-15,60
02/18,0.12656862745098038,15.176470588235293,36.166666666666664,-18,67,-18,67
02/19,0.11883495145631068,16.563106796116504,37.51456310679612,-10,63,-10,63
02/20,0.10415094339622641,17.9811320754717,38.4622641509434,-11,64,-11,64
02/21,0.0961764705882353,17.372549019607842,37.80392156862745,-12,73,-12,73
02/22,0.12865384615384615,18.23076923076923,38.875,-11,71,-11,71
02/23,0.13304761904761905,19.266666666666666,38.50476190476191,-12,67,-12,67
02/24,0.12346534653465346,18.26732673267327,37.445544554455445,-16,64,-16,64
02/25,0.2158252427184466,17.49514563106796,38.1747572815534,-12,61,-12,61
02/26,0.10349056603773585,16.82075471698113,37.4811320754717,-15,69,-15,69
02/27,0.11009615384615384,17.721153846153847,38.55769230769231,-9,62,-9,62
02/28,0.0883177570093458,18.49532710280374,39.00934579439252,-11,61,-11,61
03/01,0.14872549019607842,18.098039215686274,39.18627450980392,-6,65,-6,65
03/02,0.1725,20.67,40.03,-5,65,-5,65
03/03,0.11018867924528301,19.88679245283019,39.45283018867924,-6,63,-6,63
03/04,0.12762376237623763,19.07920792079208,39.9009900990099,-12,63,-12,63
03/05,0.1564705882352941,21.784313725490197,40.705882352941174,-9,68,-9,68
03/06,0.12872549019607843,20.470588235294116,40.84313725490196,-13,60,-13,60
03/07,0.14152380952380952,20.35238095238095,40.19047619047619,-9,67,-9,67
03/08,0.1425,22.192307692307693,41.13461538461539,-4,68,-4,68
03/09,0.16242990654205608,21.57943925233645,42.3177570093458,-4,77,-4,77
03/10,0.08826530612244898,21.357142857142858,42.30612244897959,-9,76,-9,76
03/11,0.11356435643564357,22.10891089108911,42.554455445544555,0,65,0,65
03/12,0.1359433962264151,22.78301886792453,43.235849056603776,-8,70,-8,70
03/13,0.15362745098039216,24.45098039215686,43.69607843137255,4,72,4,72
03/14,0.12229166666666667,25.135416666666668,43.958333333333336,3,72,3,72
03/15,0.15762376237623762,24.762376237623762,43.84158415841584,4,70,4,70
03/16,0.12310679611650485,23.184466019417474,43.29126213592233,-5,71,-5,71
03/17,0.14192660550458716,22.761467889908257,42.706422018348626,-5,73,-5,73
03/18,0.07306930693069306,23.11881188118812,43.42574257425743,-9,79,-9,79
03/19,0.1429,23.52,43.47,-18,76,-18,76
03/20,0.14735294117647058,25.19607843137255,45.3921568627451,2,79,2,79
03/21,0.16155339805825242,25.805825242718445,45.99029126213592,2,83,2,83
03/22,0.113,25.73,45.83,-4,84,-4,84
03/23,0.09897959183673469,25.857142857142858,47.816326530612244,9,82,9,82
03/24,0.0737,25.63,47.2,-2,71,-2,71
03/25,0.09226415094339623,25.72641509433962,47.41509433962264,0,72,0,72
03/26,0.08056603773584906,27.132075471698112,50.367924528301884,0,75,0,75
03/27,0.1421904761904762,29.085714285714285,50.304761904761904,9,76,9,76
03/28,0.11892156862745099,28.813725490196077,50.294117647058826,9,85,9,85
03/29,0.12168316831683168,28.15841584158416,50.23762376237624,0,79,0,79
03/30,0.12847619047619047,29.561904761904763,49.50476190476191,11,84,11,84
03/31,0.12196078431372549,30.715686274509803,50.77450980392157,10,89,10,89
04/01,0.15841584158415842,30.059405940594058,51.68316831683168,8,89,8,89
04/02,0.22106796116504854,30.74757281553398,50.029126213592235,10,74,10,74
04/03,0.13613861386138615,30.396039603960396,50.31683168316832,17,75,17,75
04/04,0.17616161616161616,30.03030303030303,50.17171717171717,9,72,9,72
04/05,0.1973,30.35,51.54,10,75,10,75
04/06,0.13173076923076923,30.548076923076923,52.92307692307692,16,78,16,78
04/07,0.13288659793814434,31.515463917525775,52.30927835051546,14,83,14,83
04/08,0.1282075471698113,31.849056603773583,51.4622641509434,17,83,17,83
04/09,0.0974074074074074,30.22222222222222,52.53703703703704,12,84,12,84
04/10,0.13754901960784313,30.794117647058822,53.88235294117647,20,80,20,80
04/11,0.10368932038834952,32.09708737864078,54.77669902912621,17,87,17,87
04/12,0.11912621359223301,31.902912621359224,55.16504854368932,20,86,20,86
04/13,0.16794117647058823,31.352941176470587,54.794117647058826,16,84,16,84
04/14,0.11549019607843138,32.92156862745098,56.588235294117645,16,79,16,79
04/15,0.11771428571428572,33.01904761904762,57.266666666666666,18,83,18,83
04/16,0.22554455445544555,33.17821782178218,57.32673267326733,17,86,17,86
04/17,0.13692307692307693,33.95192307692308,59.16346153846154,22,93,22,93
04/18,0.11476190476190476,34.78095238095238,59.13333333333333,20,90,20,90
04/19,0.08879629629629629,34.342592592592595,60.101851851851855,19,89,19,89
04/20,0.11365384615384616,34.31730769230769,59.06730769230769,17,87,17,87
04/21,0.08097087378640777,35.14563106796116,60.737864077669904,21,86,21,86
04/22,0.13607476635514018,36.6822429906542,60.85981308411215,23,86,23,86
04/23,0.16649484536082473,37.04123711340206,60.68041237113402,23,87,23,87
04/24,0.161,36.88,58.9,23,89,23,89
04/25,0.13529411764705881,35.65686274509804,60.26470588235294,20,90,20,90
04/26,0.1669607843137255,36.57843137254902,59.81372549019608,22,89,22,89
04/27,0.1295049504950495,37.48514851485149,60.32673267326733,25,91,25,91
04/28,0.15168316831683168,37.18811881188119,60.71287128712871,24,93,24,93
04/29,0.14447619047619048,36.97142857142857,61.95238095238095,22,92,22,92
04/30,0.13990291262135923,37.359223300970875,63.12621359223301,11,86,11,86
05/01,0.1066990291262136,37.786407766990294,62.62135922330097,26,87,26,87
05/02,0.12194174757281553,38.29126213592233,63.15533980582524,18,92,18,92
05/03,0.1259433962264151,39.54716981132076,62.990566037735846,22,93,22,93
05/04,0.12859813084112148,39.22429906542056,63.177570093457945,25,93,25,93
05/05,0.1032,39.79,63.13,25,86,25,86
05/06,0.08568627450980391,39.254901960784316,64.43137254901961,24,87,24,87
05/07,0.09513761467889909,39.57798165137615,66.09174311926606,22,92,22,92
05/08,0.10349056603773585,40.556603773584904,66.48113207547169,24,90,24,90
05/09,0.1392156862745098,41.55882352941177,67.06862745098039,24,94,24,94
05/10,0.1271153846153846,43.07692307692308,67.01923076923077,27,93,27,93
05/11,0.10672897196261683,41.83177570093458,66.79439252336448,26,91,26,91
05/12,0.14718446601941748,42.019417475728154,67.13592233009709,28,92,28,92
05/13,0.1340909090909091,43.11818181818182,66.98181818181818,25,86,25,86
05/14,0.1335185185185185,41.06481481481482,66.6574074074074,28,89,28,89
05/15,0.16777777777777778,41.648148148148145,67.00925925925925,29,93,29,93
05/16,0.16785046728971964,42.794392523364486,66.39252336448598,28,92,28,92
05/17,0.1764814814814815,43.907407407407405,68.32407407407408,30,91,30,91
05/18,0.12141414141414142,44.22222222222222,68.48484848484848,22,92,22,92
05/19,0.12216981132075472,44.132075471698116,68.63207547169812,22,94,22,94
05/20,0.13907407407407407,44.574074074074076,69.62962962962963,28,96,28,96
05/21,0.11093457943925233,44.90654205607477,70.14018691588785,23,93,23,93
05/22,0.13203703703703704,45.675925925925924,70.22222222222223,22,94,22,94
05/23,0.09451923076923077,46.14423076923077,70.60576923076923,34,92,34,92
05/24,0.18730769230769231,45.89423076923077,70.16346153846153,28,94,28,94
05/25,0.13830188679245284,46.24528301886792,69.66037735849056,26,92,26,92
05/26,0.08588785046728972,45.94392523364486,71.57943925233644,10,93,10,93
05/27,0.112,47.00952380952381,71.15238095238095,27,99,27,99
05/28,0.07771428571428572,46.65714285714286,72.14285714285714,29,93,29,93
05/29,0.12913461538461538,47.69230769230769,72.67307692307692,30,92,30,92
05/30,0.10447619047619047,47.61904761904762,72.97142857142858,27,92,27,92
05/31,0.11330188679245283,48.9622641509434,74.41509433962264,27,94,27,94
06/01,0.14613207547169813,49.367924528301884,75.05660377358491,30,94,30,94
06/02,0.2069607843137255,49.911764705882355,74.74509803921569,33,92,33,92
06/03,0.10772727272727273,48.31818181818182,74.14545454545454,31,102,31,102
06/04,0.11800000000000001,48.84761904761905,74.28571428571429,32,97,32,97
06/05,0.12570093457943926,49.25233644859813,73.62616822429906,34,98,34,98
06/06,0.19345794392523363,49.26168224299065,73.6355140186916,32,95,32,95
06/07,0.10589285714285715,49.892857142857146,74.57142857142857,34,96,34,96
06/08,0.15205607476635513,50.495327102803735,74.50467289719626,34,96,34,96
06/09,0.10841121495327104,51.177570093457945,74.72897196261682,30,95,30,95
06/10,0.19471698113207547,49.820754716981135,75.04716981132076,33,95,33,95
06/11,0.1062962962962963,50.22222222222222,75.05555555555556,35,94,35,94
06/12,0.15657142857142858,51.2952380952381,76.42857142857143,33,95,33,95
06/13,0.18721153846153846,51.59615384615385,75.5,35,95,35,95
06/14,0.12268518518518519,51.7962962962963,76.3425925925926,36,93,36,93
06/15,0.10324324324324324,52.468468468468465,75.6036036036036,36,97,36,97
06/16,0.0901834862385321,51.25688073394495,76.07339449541284,33,95,33,95
06/17,0.18128440366972476,52.08256880733945,76.3302752293578,36,94,36,94
06/18,0.12,52.30909090909091,77.13636363636364,38,94,38,94
06/19,0.14036363636363636,53.07272727272727,77.93636363636364,39,96,39,96
06/20,0.12194444444444445,53.23148148148148,78.62962962962963,35,97,35,97
06/21,0.16847619047619047,54.22857142857143,77.58095238095238,33,95,33,95
06/22,0.12364485981308411,54.205607476635514,79.1588785046729,39,94,39,94
06/23,0.1179245283018868,53.5188679245283,78.68867924528301,36,95,36,95
06/24,0.05161904761904762,54.285714285714285,80.29523809523809,39,94,39,94
06/25,0.10588785046728973,55.626168224299064,80.33644859813084,41,95,41,95
06/26,0.139,55.71818181818182,80.55454545454545,31,98,31,98
06/27,0.08882882882882882,55.85585585585586,79.97297297297297,39,97,39,97
06/28,0.09431192660550458,55.25688073394495,80.62385321100918,38,97,38,97
06/29,0.1519626168224299,55.44859813084112,80.10280373831776,38,97,38,97
06/30,0.11657142857142858,56.05714285714286,80.6,39,94,39,94
07/01,0.11961904761904762,56.51428571428571,80.55238095238096,35,101,35,101
07/02,0.15429906542056074,56.74766355140187,81.6355140186916,37,97,37,97
07/03,0.11067961165048544,56.75728155339806,82.32038834951456,39,103,39,103
07/04,0.08960784313725491,56.450980392156865,82.46078431372548,40,103,40,103
07/05,0.08524752475247525,57.039603960396036,82.12871287128714,40,98,40,98
07/06,0.12342592592592593,56.22222222222222,81.18518518518519,39,102,39,102
07/07,0.07211009174311926,55.73394495412844,82.01834862385321,35,98,35,98
07/08,0.12925233644859813,57.205607476635514,83.1214953271028,39,98,39,98
07/09,0.12285714285714286,58.39047619047619,82.81904761904762,43,98,43,98
07/10,0.10273584905660378,57.801886792452834,82.0754716981132,40,101,40,101
07/11,0.1369811320754717,57.56603773584906,82.25471698113208,43,100,43,100
07/12,0.11623853211009175,57.31192660550459,82.10091743119266,39,98,39,98
07/13,0.15788461538461537,58.18269230769231,83.08653846153847,41,95,41,95
07/14,0.11245283018867924,58.60377358490566,82.98113207547169,45,99,45,99
07/15,0.10592233009708737,59.05825242718446,83.19417475728156,41,96,41,96
07/16,0.1011881188118812,58.64356435643565,82.66336633663366,43,97,43,97
07/17,0.14296296296296296,58.870370370370374,84.03703703703704,43,99,43,99
07/18,0.1418095238095238,60.27619047619048,84.94285714285714,45,98,45,98
07/19,0.13150943396226414,60.0377358490566,83.98113207547169,46,96,46,96
07/20,0.09446428571428571,58.8125,82.99107142857143,38,97,38,97
07/21,0.17276785714285714,58.75892857142857,82.58035714285714,40,98,40,98
07/22,0.11732142857142858,58.82142857142857,82.04464285714286,42,102,42,102
07/23,0.12407407407407407,59.56481481481482,82.00925925925925,39,98,39,98
07/24,0.19547169811320755,59.132075471698116,82.58490566037736,40,96,40,96
07/25,0.08607476635514019,58.03738317757009,81.5233644859813,41,97,41,97
07/26,0.08104761904761905,57.266666666666666,81.92380952380952,40,99,40,99
07/27,0.13137614678899082,58.22018348623853,82.10091743119266,39,98,39,98
07/28,0.2757798165137615,59.27522935779817,82.1743119266055,37,100,37,100
07/29,0.16433962264150942,58.81132075471698,81.83018867924528,41,99,41,99
07/30,0.16185185185185186,58.49074074074074,81.80555555555556,42,99,42,99
07/31,0.11238532110091744,57.73394495412844,81.88073394495413,38,96,38,96
08/01,0.11695238095238095,57.923809523809524,81.9047619047619,38,96,38,96
08/02,0.16261682242990655,58.02803738317757,81.81308411214954,44,102,44,102
08/03,0.07257142857142858,58.285714285714285,82.71428571428571,39,97,39,97
08/04,0.18047619047619048,58.67619047619048,82.6,44,97,44,97
08/05,0.1288888888888889,58.98148148148148,81.37037037037037,41,99,41,99
08/06,0.12349056603773585,57.509433962264154,80.85849056603773,42,95,42,95
08/07,0.09990654205607477,56.96261682242991,80.80373831775701,32,98,32,98
08/08,0.1296330275229358,58.04587155963303,81.89908256880734,43,100,43,100
08/09,0.1407017543859649,56.973684210526315,81.89473684210526,41,99,41,99
08/10,0.18236363636363637,57.70909090909091,81.0909090909091,36,102,36,102
08/11,0.1487962962962963,57.99074074074074,81.29629629629629,40,100,40,100
08/12,0.12233644859813084,57.45794392523364,79.5233644859813,37,100,37,100
08/13,0.11222222222222222,56.47222222222222,80,42,100,42,100
08/14,0.09055045871559633,56.80733944954128,81.28440366972477,38,99,38,99
08/15,0.09361904761904762,56.61904761904762,81.48571428571428,36,96,36,96
08/16,0.07490566037735849,55.716981132075475,81.63207547169812,37,99,37,99
08/17,0.08814814814814814,56.324074074074076,81.74074074074075,37,97,37,97
08/18,0.1462037037037037,56.22222222222222,80.57407407407408,38,96,38,96
08/19,0.15654205607476634,54.242990654205606,79.24299065420561,38,96,38,96
08/20,0.09925233644859813,54.626168224299064,79.83177570093459,37,95,37,95
08/21,0.14051020408163264,53.59183673469388,79.44897959183673,38,95,38,95
08/22,0.13913461538461538,53.92307692307692,79.6923076923077,32,95,32,95
08/23,0.13598130841121495,53.71028037383178,78.65420560747664,38,95,38,95
08/24,0.11414414414414414,54.37837837837838,78.61261261261261,37,92,37,92
08/25,0.1485,53.89,78.37,36,97,36,97
08/26,0.07192307692307692,54.02884615384615,79.66346153846153,34,101,34,101
08/27,0.05495327102803738,54.36448598130841,80.10280373831776,38,98,38,98
08/28,0.11009259259259259,54.166666666666664,79.96296296296296,37,97,37,97
08/29,0.17411764705882354,55.166666666666664,78.51960784313725,36,96,36,96
08/30,0.14817307692307694,53.72115384615385,79.125,34,96,34,96
08/31,0.11499999999999999,54.13725490196079,78.7156862745098,28,98,28,98
09/01,0.10817307692307693,53.05769230769231,78.39423076923077,36,94,36,94
09/02,0.12028301886792453,52.886792452830186,77.90566037735849,35,99,35,99
09/03,0.1629906542056075,52.981308411214954,77.42990654205607,34,94,34,94
09/04,0.1460377358490566,53.783018867924525,77.09433962264151,35,94,35,94
09/05,0.11345794392523365,52.16822429906542,77.86915887850468,37,92,37,92
09/06,0.09877358490566038,52.179245283018865,76.88679245283019,36,92,36,92
09/07,0.10942857142857143,51.86666666666667,76.54285714285714,30,95,30,95
09/08,0.04690909090909091,51.17272727272727,75.93636363636364,35,97,35,97
09/09,0.16234234234234235,50.288288288288285,74.91891891891892,33,96,33,96
09/10,0.0985981308411215,51.205607476635514,74.78504672897196,33,95,33,95
09/11,0.19738317757009347,51.373831775700936,75.02803738317758,31,95,31,95
09/12,0.1463809523809524,50.31428571428572,74.45714285714286,29,93,29,93
09/13,0.14361904761904762,49.161904761904765,74.28571428571429,32,93,32,93
09/14,0.13323809523809524,50.12380952380953,73.27619047619048,30,90,30,90
09/15,0.19635514018691588,48.149532710280376,72.09345794392523,28,93,28,93
09/16,0.1639252336448598,48.12149532710281,71.38317757009345,29,91,29,91
09/17,0.15936363636363635,47.627272727272725,71.27272727272727,30,89,30,89
09/18,0.17174311926605504,48,72.87155963302752,30,92,30,92
09/19,0.12037383177570093,47.36448598130841,71.3177570093458,28,92,28,92
09/20,0.15275229357798165,47.055045871559635,70.81651376146789,24,93,24,93
09/21,0.1346728971962617,48.149532710280376,71.69158878504673,26,95,26,95
09/22,0.12127272727272727,48.9,71.65454545454546,25,92,25,92
09/23,0.15971428571428573,47.838095238095235,70.51428571428572,21,95,21,95
09/24,0.11148148148148149,45.48148148148148,68.92592592592592,25,88,25,88
09/25,0.10242990654205608,43.89719626168224,69.40186915887851,25,89,25,89
09/26,0.1314423076923077,44.34615384615385,69.52884615384616,25,92,25,92
09/27,0.15669724770642202,44.981651376146786,69.10091743119266,24,89,24,89
09/28,0.09254545454545454,46.236363636363635,69.27272727272727,25,87,25,87
09/29,0.16384615384615384,44.38461538461539,67.97115384615384,21,85,21,85
09/30,0.1522429906542056,42.64485981308411,67.34579439252336,26,87,26,87
10/01,0.08672897196261682,42.86915887850467,66.42056074766356,26,86,26,86
10/02,0.13327272727272726,42.61818181818182,66.13636363636364,25,85,25,85
10/03,0.09180952380952381,43.180952380952384,67.21904761904761,28,84,28,84
10/04,0.10547169811320754,42.735849056603776,67.4245283018868,26,84,26,84
10/05,0.07711538461538461,42.55769230769231,66.82692307692308,24,86,24,86
10/06,0.1736036036036036,42.01801801801802,65.65765765765765,22,85,22,85
10/07,0.15663551401869158,41.26168224299065,65.14018691588785,22,87,22,87
10/08,0.12123809523809524,40.77142857142857,65.4,23,81,23,81
10/09,0.15177570093457943,41.05607476635514,64.04672897196262,25,84,25,84
10/10,0.11716981132075471,40.198113207547166,63.0188679245283,22,85,22,85
10/11,0.11895238095238095,39.02857142857143,62.91428571428571,20,81,20,81
10/12,0.15065420560747664,40.12149532710281,62.4392523364486,19,85,19,85
10/13,0.13214953271028038,38.35514018691589,62.48598130841121,21,84,21,84
10/14,0.0883177570093458,38.76635514018692,63.299065420560744,20,81,20,81
10/15,0.18110091743119267,39.26605504587156,63.74311926605505,22,88,22,88
10/16,0.10169811320754717,39.509433962264154,63.75471698113208,21,87,21,87
10/17,0.11813084112149533,39.6822429906542,62.25233644859813,21,90,21,90
10/18,0.10283018867924529,38.0377358490566,61.0377358490566,17,85,17,85
10/19,0.08963302752293578,37.92660550458716,60.862385321100916,20,83,20,83
10/20,0.18962962962962962,38.583333333333336,59.52777777777778,16,77,16,77
10/21,0.17166666666666666,36.22222222222222,59.425925925925924,20,81,20,81
10/22,0.1569811320754717,35.18867924528302,59.85849056603774,16,86,16,86
10/23,0.14055045871559632,36.825688073394495,59.58715596330275,19,83,19,83
10/24,0.16035714285714286,36.098214285714285,58.919642857142854,14,81,14,81
10/25,0.1748148148148148,35.601851851851855,57.9537037037037,17,81,17,81
10/26,0.12425925925925926,36.2037037037037,57.574074074074076,20,82,20,82
10/27,0.09027522935779816,35.53211009174312,57.93577981651376,19,82,19,82
10/28,0.17855855855855857,35.78378378378378,57.666666666666664,14,80,14,80
10/29,0.12796116504854368,34.349514563106794,56.66990291262136,17,78,17,78
10/30,0.11343137254901961,33.666666666666664,55.30392156862745,17,74,17,74
10/31,0.13257142857142856,33.48571428571429,56.23809523809524,15,80,15,80
11/01,0.15522935779816513,35.027522935779814,56.5045871559633,14,76,14,76
11/02,0.21241071428571429,34.294642857142854,55.723214285714285,17,80,17,80
11/03,0.2348623853211009,35.43119266055046,54.825688073394495,13,75,13,75
11/04,0.14026785714285714,34.125,54.69642857142857,17,76,17,76
11/05,0.15238532110091743,32.972477064220186,53.48623853211009,17,76,17,76
11/06,0.12118181818181818,34.07272727272727,53.127272727272725,18,76,18,76
11/07,0.1547,33.17,53.36,15,74,15,74
11/08,0.10121495327102803,32.10280373831776,52.242990654205606,14,72,14,72
11/09,0.12872727272727272,31.463636363636365,51.54545454545455,14,70,14,70
11/10,0.13962264150943396,31.28301886792453,51.028301886792455,15,70,15,70
11/11,0.16796296296296295,30.59259259259259,49.47222222222222,11,75,11,75
11/12,0.10846846846846847,30.495495495495497,49.4054054054054,13,71,13,71
11/13,0.1490990990990991,30.063063063063062,48.8018018018018,13,68,13,68
11/14,0.1322222222222222,29.73148148148148,49.083333333333336,7,71,7,71
11/15,0.15616822429906543,30.38317757009346,49.373831775700936,13,73,13,73
11/16,0.10891891891891892,30.56756756756757,48.126126126126124,10,72,10,72
11/17,0.15605504587155963,28.513761467889907,47.862385321100916,3,72,3,72
11/18,0.11481818181818182,29.845454545454544,47.845454545454544,11,71,11,71
11/19,0.08513761467889909,27.889908256880734,48.440366972477065,5,71,5,71
11/20,0.21460176991150443,28.86725663716814,47.67256637168141,11,75,11,75
11/21,0.13186915887850467,27.66355140186916,47.05607476635514,11,74,11,74
11/22,0.10568807339449542,28.504587155963304,45.89908256880734,4,66,4,66
11/23,0.16048076923076923,27.442307692307693,45.36538461538461,8,71,8,71
11/24,0.12820754716981134,27.047169811320753,44.72641509433962,-7,69,-7,69
11/25,0.17721153846153848,27.35576923076923,43.86538461538461,9,65,9,65
11/26,0.22075471698113208,26.669811320754718,44.924528301886795,3,65,3,65
11/27,0.1896330275229358,25.522935779816514,44.65137614678899,7,70,7,70
11/28,0.13148148148148148,26,43.51851851851852,0,71,0,71
11/29,0.1908256880733945,25.706422018348626,43.4954128440367,1,67,1,67
11/30,0.16065420560747662,25.1588785046729,43.48598130841121,5,70,5,70
12/01,0.1288349514563107,24.893203883495147,42.74757281553398,5,67,5,67
12/02,0.13390909090909092,23.054545454545455,41.3,-1,65,-1,65
12/03,0.12280373831775701,23.33644859813084,41.32710280373832,0,67,0,67
12/04,0.15830188679245283,22.18867924528302,40.16981132075472,1,69,1,69
12/05,0.1587962962962963,21.75,39.7037037037037,-1,62,-1,62
12/06,0.18601851851851853,22.666666666666668,39.99074074074074,-1,72,-1,72
12/07,0.1841346153846154,22.721153846153847,40.64423076923077,-3,74,-3,74
12/08,0.07847619047619048,21.114285714285714,38.34285714285714,-11,62,-11,62
12/09,0.1579245283018868,19.745283018867923,37.25471698113208,-7,57,-7,57
12/10,0.15345794392523365,20.261682242990656,37.91588785046729,-9,62,-9,62
12/11,0.08037735849056604,20.452830188679247,38.471698113207545,-3,66,-3,66
12/12,0.17706422018348625,20.40366972477064,37.61467889908257,-10,68,-10,68
12/13,0.10320754716981131,20.09433962264151,38.028301886792455,-2,61,-2,61
12/14,0.20423423423423423,19.396396396396398,36.693693693693696,-9,61,-9,61
12/15,0.18342857142857144,18.533333333333335,35.98095238095238,-8,61,-8,61
12/16,0.14757009345794392,17.72897196261682,35.54205607476636,-9,60,-9,60
12/17,0.10838095238095238,17.904761904761905,35.41904761904762,-18,61,-18,61
12/18,0.11388888888888889,17.583333333333332,35.611111111111114,-13,61,-13,61
12/19,0.05509615384615384,15.76923076923077,34.73076923076923,-11,61,-11,61
12/20,0.0862037037037037,16.805555555555557,34.870370370370374,-17,57,-17,57
12/21,0.1961904761904762,17.723809523809525,36.885714285714286,-22,59,-22,59
12/22,0.11932692307692308,18.932692307692307,36.94230769230769,-16,71,-16,71
12/23,0.17934579439252338,17.925233644859812,36.691588785046726,-13,66,-13,66
12/24,0.12515151515151515,19,36.56565656565657,-18,66,-18,66
12/25,0.1096969696969697,17.515151515151516,35.535353535353536,-20,61,-20,61
12/26,0.11201923076923077,16.89423076923077,35.13461538461539,-16,60,-16,60
12/27,0.11923809523809524,15.361904761904762,33.48571428571429,-15,59,-15,59
12/28,0.12462264150943396,14.971698113207546,34.25471698113208,-7,59,-7,59
12/29,0.13886792452830188,15.88679245283019,34.886792452830186,-14,63,-14,63
12/30,0.14533333333333334,15.533333333333333,34.857142857142854,-26,58,-26,58
12/31,0.10556603773584906,14.5,35.06603773584906,-21,62,-21,62
